old_circuit_id,new_circuit_id,tipo,status,final_status,modem,plan,mac_address,city,latitude,longitude,state,terminal_id,created_at,terminated_at
MTSI000434,MTSF000115,indigena,Migração,Ativo,SB2PLUSMODEM,0041-GESAC2 400 (SB2+),00A0BCA7E88C,,-14.957361221313477,-59.50152969360352,MT,FTB-020926,2022-07-06,2027-07-06
MASI002378,MASI002378,indigena,Will Not Migrate,Bloqueados,SB2PLUSMODEM,0017-Telebras SB2+ - 10Mbps,00A0BCAE68C0,Barra do Corda,-5.697159767150879,-45.24176025390625,MA,FTB-007104,2022-04-23,2027-04-23
PASI002190,PASF001136,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCA7CB80,Paragominas,-2.624999046325684,-46.55361175537109,PA,FTB-018040,2022-05-05,2027-05-05
PESI001027,PESI001027,indigena,Will Not Migrate,Bloqueados,SB2PLUSMODEM,0017-Telebras SB2+ - 10Mbps,00A0BC8E7290,Carnaubeira da Penha,-8.322489738464355,-38.74433135986328,PE,FTB-018079,2022-05-06,2027-05-06
PESI000922,PESF000251,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC9497F8,Inajá,-8.903499603271484,-37.82733154296875,PE,FTB-018382,2022-05-11,2027-05-11
PESI000886,PESF000463,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC9804C0,Cabrobó,-8.512490272521973,-39.30733871459961,PE,FTB-019671,2022-05-30,2027-05-30
PESI000820,PESF000055,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC9EA9EC,Carnaubeira da Penha,-8.322489738464355,-38.74433135986328,PE,FTB-018049,2022-05-05,2027-05-05
PESI000816,PESF000469,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCA21EE4,Carnaubeira da Penha,-8.322489738464355,-38.74433135986328,PE,FTB-019219,2022-05-24,2027-05-24
BASI002709,BASI002709,indigena,Will Not Migrate,Bloqueados,SB2PLUSMODEM,0017-Telebras SB2+ - 10Mbps,00A0BCA7E424,Porto Seguro,-16.814258575439453,-39.1494026184082,BA,FTB-019567,2022-05-27,2027-05-27
BASI002551,BASF000431,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BCB1E3B0,Porto Seguro,-16.889490127563477,-39.42185974121094,BA,FTB-019439,2022-05-26,2027-05-26
BASI002540,BASF001752,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCC41F70,Santa Cruz Cabrália,-16.278539657592773,-39.02534103393555,BA,FTB-019583,2022-05-28,2027-05-28
BASI002532,BASF000430,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BCA7D050,Porto Seguro,-16.45054054260254,-39.06534957885742,BA,FTB-019352,2022-05-25,2027-05-25
BASI002531,BASF000429,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BCA4BFBC,Porto Seguro,-16.36655044555664,-39.07265090942383,BA,FTB-019580,2022-05-28,2027-05-28
MASI002440,MASF000962,indigena,Migração,Ativo,SB2PLUSMODEM,0040-GESAC2 300 (SB2+),00A0BCB999E4,Jenipapo dos Vieiras,-5.337780475616455,-45.695098876953125,MA,FTB-019216,2022-05-23,2027-05-23
MASI002278,MASF000961,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCA8BBE8,Jenipapo dos Vieiras,-5.387804985046387,-45.66549682617188,MA,FTB-019217,2022-05-23,2027-05-23
AMSI001604,AMSI001604,indigena,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Manacapuru,-3.300450086593628,-60.6214714050293,AM,FTB-003165,2022-05-05,2027-05-05
AMSI001895,AMSF000309,indigena,Migração,Ativo,SB2MODEM,0039-GESAC2 200,00A0BC44AFE9,Coari,-4.085450172424316,-63.1414794921875,AM,FTB-019960,2022-06-03,2027-06-03
AMSI001849,AMSF000302,indigena,Migração,Ativo,SB2MODEM,0039-GESAC2 200,00A0BC33D8EF,Coari,-4.085450172424316,-63.1414794921875,AM,FTB-019020,2022-05-20,2027-05-20
AMSI001560,AMSI001560,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC485581,Careiro da Várzea,-3.4341273307800293,-59.435203552246094,AM,FTB-018568,2022-05-13,2027-05-13
